saved_at_utc,saved_at_manila,target_manila,target_utc,frozen_manila,pagasa_exact_temperature,v21_final,v21_estimated,v22_final,metar_last_residual,metar_residual_ewma,pagasa_residual,pagasa_ewma,pagasa_observation_number,weather_regime,convective_score,convective_risk,station_spread,network_change_5m,network_change_15m,ipar_temperature,itag_temperature,ipas_temperature,sonoff_temperature,sonoff_humidity,source
2026-09-06T03:56:49Z,2026-09-06 11:56:49,2026-09-06 12:00,2026-09-06 04:00Z,2026-09-06 11:55:30,29.6,30.0,30.13,30.0,-0.47,0.12,-0.53,-0.16,20,heating,1,low,0.72,-0.04,0.44,30.2777777777778,29.9,30.5,27.6,84.9,PAGASA_phone
2026-09-08T03:57:01Z,2026-09-08 11:57:01,2026-09-08 12:00,2026-09-08 04:00Z,2026-09-08 11:55:30,28.3,28.0,28.24,28.0,-0.44,0.07,0.06,-0.08,21,stable,2,low,0.13,-0.12,-0.06,28.3333333333333,28.8,29.3,27.2,83.8,PAGASA_phone
2026-09-08T05:57:09Z,2026-09-08 13:57:09,2026-09-08 14:00,2026-09-08 06:00Z,2026-09-08 13:55:30,27.3,27.0,27.47,27.0,-0.15,-0.13,-0.17,-0.11,22,stable,,none,1.13,0.15,0.37,27.3333333333333,28.8,28.6,27.4,86.8,PAGASA_phone
2026-09-09T01:57:06Z,2026-09-09 09:57:06,2026-09-09 10:00,2026-09-09 02:00Z,2026-09-09 09:55:30,26.7,26.0,26.21,27.0,0.6,0.6,0.49,0.1,23,stable,,none,1.14,0.1,0.17,26.6666666666667,26.6,26.4,25.8,93.2,PAGASA_phone
2026-09-09T02:57:03Z,2026-09-09 10:57:03,2026-09-09 11:00,2026-09-09 03:00Z,2026-09-09 10:55:30,27.5,27.0,26.83,27.0,0.79,0.7,0.67,0.3,24,stable,1,low,1.21,,-0.02,27.4444444444444,26.7,27.1,26.2,91.2,PAGASA_phone
2026-09-09T03:57:01Z,2026-09-09 11:57:01,2026-09-09 12:00,2026-09-09 04:00Z,2026-09-09 11:55:30,29.0,29.0,29.03,30.0,1.17,0.96,-0.03,0.18,25,heating,1,low,0.79,0.29,0.56,29.2222222222222,28.8,29.3,27.2,88.2,PAGASA_phone
2026-09-09T04:56:56Z,2026-09-09 12:56:56,2026-09-09 13:00,2026-09-09 05:00Z,2026-09-09 12:55:30,29.9,29.0,29.41,29.0,-0.03,0.42,0.49,0.29,26,stable,1,low,1.25,0.09,0.22,30.1111111111111,29.2,29.9,28.0,82.1,PAGASA_phone
2026-09-14T04:57:47Z,2026-09-14 12:57:47,2026-09-14 13:00,2026-09-14 05:00Z,2026-09-14 12:55:30,31.5,32.0,32.21,32.0,-0.51,-0.48,-0.71,-0.06,27,convective,3,moderate,0.43,-0.17,-0.09,32.3333333333333,33.1,33.2,31.8,71.1,PAGASA_phone
2026-09-14T05:59:23Z,2026-09-14 13:59:23,2026-09-14 14:00,2026-09-14 06:00Z,2026-09-14 13:55:30,32.0,33.0,32.76,33.0,-0.21,-0.33,-0.76,-0.3,28,stable,2,low,0.53,0.01,0.36,32.8888888888889,33.6,33.6,32.0,63.8,PAGASA_phone
2026-09-14T06:58:12Z,2026-09-14 14:58:12,2026-09-14 15:00,2026-09-14 07:00Z,2026-09-14 14:55:30,31.6,32.0,31.85,31.0,-0.76,-0.57,-0.25,-0.28,29,convective,3,moderate,1.73,-0.46,-0.69,32.3888888888889,31.0,33.1,31.2,65.7,PAGASA_phone
