observation_utc,temperature,dew_point,pressure,wind_direction,wind_speed_kmh,prediction_target_utc,frozen_estimate,synop_error,synop_absolute_error,predicted_metar,synop_rounded_metar,prediction_match,raw_synop
2026-08-26T00:00:00+00:00,29.9,25.3,1010.2,230,10.8,2026-08-26 00:00Z,30.27,0.37,0.37,30,30,matched,AAXX 26001 98429 41559 32303 10299 20253 40102 52011 70500 83502 333 20271 58000==
2026-08-26T03:00:00+00:00,32.0,25.5,1010.0,270,25.2,2026-08-26 03:00Z,33.46,1.46,1.46,33,32,matched,AAXX 26031 98429 42560 32707 10320 20255 40100 55002 83201==
2026-08-26T06:00:00+00:00,32.0,26.3,1008.2,270,25.2,2026-08-26 06:00Z,31.51,-0.49,0.49,32,32,matched,AAXX 26061 98429 42560 42707 10320 20263 40082 57018 84430==
2026-08-26T09:00:00+00:00,30.1,24.8,1008.2,250,18.0,2026-08-26 09:00Z,30.23,0.13,0.13,30,30,matched,AAXX 26091 98429 21560 72505 10301 20248 40082 50000 70381 85538 333 56//5 60047 90700 91117==
2026-08-26T12:00:00+00:00,26.9,25.6,1010.4,240,7.2,2026-08-26 12:00Z,26.61,-0.29,0.29,27,27,matched,AAXX 26121 98429 11559 82402 10269 20256 40104 52022 60051 76186 8857/ 333 10330 56//6 58005==
2026-08-26T15:00:00+00:00,27.3,24.8,1011.2,210,7.2,2026-08-26 15:00Z,26.22,-1.08,1.08,26,27,matched,AAXX 26151 98429 21560 42102 10273 20248 40112 52008 70161 84508 333 60007==
2026-08-26T18:00:00+00:00,27.5,25.9,1009.3,230,10.8,2026-08-26 18:00Z,26.85,-0.65,0.65,27,28,matched,AAXX 26181 98429 11560 32303 10275 20259 40093 57019 60001 70161 83530==
2026-08-26T21:00:00+00:00,27.3,26.1,1008.2,230,7.2,2026-08-26 21:00Z,26.54,-0.76,0.76,27,27,matched,AAXX 26211 98429 42560 42302 10273 20261 40082 56011 83532==
2026-08-27T00:00:00+00:00,28.8,26.9,1009.2,250,10.8,2026-08-27 00:00Z,28.12,-0.68,0.68,28,29,matched,AAXX 27001 98429 11559 42503 10288 20269 40092 52010 60054 72581 82530 333 20259 56990 59010 70050 82625 84360 555 20005=
2026-08-27T03:00:00+00:00,31.4,27.2,1009.5,260,32.4,,,,,,,unmatched,AAXX 27031 98429 42560 22609 10314 20272 40095 51003 82201 333 82825==
2026-08-27T06:00:00+00:00,31.9,26.4,1007.9,260,32.4,2026-08-27 06:00Z,32.35,0.45,0.45,32,32,matched,AAXX 27061 98429 32560 42609 10319 20264 40079 57016 82530 333 56990 82625 84360=
2026-08-27T09:00:00+00:00,29.7,26.2,1007.6,260,28.8,,,,,,,unmatched,AAXX 27091 98429 21559 72608 10297 20262 40076 56003 70581 8357/ 333 56599 69907 83623 87360=
2026-08-27T12:00:00+00:00,28.1,25.0,1009.1,240,14.4,2026-08-27 12:00Z,27.69,-0.41,0.41,28,28,matched,AAXX 27121 98429 11560 72404 10281 20250 40091 52015 69901 70581 8257/ 333 10325 56599 59013 82625 87360=
2026-08-27T15:00:00+00:00,27.3,26.3,1010.5,260,10.8,2026-08-27 15:00Z,26.92,-0.38,0.38,27,27,matched,AAXX 27151 98429 21559 72603 10273 20263 40105 52014 72162 8747/ 333 60007==
2026-08-27T18:00:00+00:00,25.7,24.7,1008.5,230,14.4,,,,,,,unmatched,AAXX 27181 98429 11560 52304 10257 20247 40085 57020 60021 72162 82570 333 82625 85360==
2026-08-27T21:00:00+00:00,27.3,25.0,1007.3,240,10.8,2026-08-27 21:00Z,26.04,-1.26,1.26,26,27,matched,AAXX 27211 98429 42560 72403 10273 20250 40073 56012 8757/==
2026-08-28T00:00:00+00:00,27.2,24.3,1009.7,240,10.8,,,,,,,unmatched,AAXX 28001 98429 11560 82403 10272 20243 40097 52024 60034 70362 8257/ 333 20255 58005 70030 82623 88359==
2026-08-28T03:00:00+00:00,27.5,26.1,1009.4,270,18.0,2026-08-28 03:00Z,26.64,-0.86,0.86,27,28,matched,AAXX 28031 98429 21559 82705 10275 20261 40094 55003 76162 8252/ 333 56999 60037 82623 88459=
2026-08-28T06:00:00+00:00,27.0,25.8,1008.3,250,14.4,2026-08-28 06:00Z,26.45,-0.55,0.55,26,27,matched,AAXX 28061 98429 11558 82504 10270 20258 40083 57011 60051 76166 8852/==
2026-08-28T09:00:00+00:00,26.1,25.4,1007.6,250,14.4,,,,,,,unmatched,AAXX 28091 98429 21557 82504 10261 20254 40076 55007 76166 8452/ 333 56699 60037 84622 88458=
2026-08-28T12:00:00+00:00,25.9,25.6,1008.9,260,10.8,,,,,,,unmatched,AAXX 28121 98429 11558 82603 10259 20256 40089 52013 60081 76166 8452/ 333 10278 59002 84622 88458==
2026-08-28T15:00:00+00:00,24.8,24.8,1009.5,240,10.8,2026-08-28 15:00Z,24.5,-0.3,0.3,25,25,matched,AAXX 28151 98429 21550 82403 10248 20248 40095 50006 76366 8852/ 333 56//5 60207==
2026-08-28T18:00:00+00:00,25.4,24.9,1008.3,230,10.8,2026-08-28 18:00Z,24.7,-0.7,0.7,25,25,matched,AAXX 28181 98429 11559 82303 10254 20249 40083 57012 60221 76166 8852/ 333 56//5==
2026-08-28T21:00:00+00:00,24.1,24.1,1008.3,220,7.2,2026-08-28 21:00Z,23.74,-0.36,0.36,24,24,matched,AAXX 28211 98429 21550 82202 10241 20241 40083 55000 76366 8852/ 333 60187==
2026-08-29T00:00:00+00:00,24.8,24.8,1008.8,220,18.0,2026-08-29 00:00Z,23.94,-0.86,0.86,24,25,matched,AAXX 29001 98429 11558 82205 10248 20248 40088 53005 60774 76166 8252/ 333 20236 56999 59009 70765 82623 88458 555 20425=
2026-08-29T03:00:00+00:00,24.8,24.8,1009.4,210,10.8,2026-08-29 03:00Z,24.39,-0.41,0.41,24,25,matched,AAXX 29031 98429 21557 82103 10248 20248 40094 53006 76366 8552/ 333 56999 60137 85622 88457=
2026-08-29T06:00:00+00:00,24.4,24.4,1008.5,240,18.0,,,,,,,unmatched,AAXX 29061 98429 11556 82405 10244 20244 40085 55009 60411 78098 8592/ 333 85622 88457 83920==
2026-08-29T09:00:00+00:00,25.8,25.8,1006.7,350,7.2,2026-08-29 09:00Z,24.8,-1.0,1.0,25,26,matched,AAXX 29091 98429 21450 83502 10258 20258 40067 57018 79598 8692/ 333 60257==
2026-08-29T12:00:00+00:00,25.7,25.7,1008.2,150,3.6,2026-08-29 12:00Z,24.89,-0.81,0.81,25,26,matched,AAXX 29121 98429 11558 81501 10257 20257 40082 52015 60261 71398 8592/ 333 10262 56999 59007 83920 85622 88457=
2026-08-29T15:00:00+00:00,27.0,27.0,1008.6,310,7.2,2026-08-29 15:00Z,25.67,-1.33,1.33,26,27,matched,AAXX 29151 98429 41557 73102 10270 20270 40086 53004 71022 8757/==
2026-08-29T18:00:00+00:00,27.3,26.3,1007.5,220,7.2,2026-08-29 18:00Z,25.81,-1.49,1.49,26,27,matched,AAXX 29181 98429 31558 62202 10273 20263 40075 57011 71022 82570 333 56990 82623 86360=
2026-08-29T21:00:00+00:00,27.5,25.9,1007.2,250,18.0,2026-08-29 21:00Z,25.8,-1.7,1.7,26,28,matched,AAXX 29211 98429 41559 72505 10275 20259 40072 55003 71322 8797/ 333 56//5==
2026-08-30T00:00:00+00:00,26.4,26.4,1008.3,220,7.2,,,,,,,unmatched,AAXX 30001 98429 11559 82202 10264 20264 40083 52011 60694 76162 8452/ 333 20231 59005 70690 84622 88459==
2026-08-30T03:00:00+00:00,29.7,25.8,1008.4,240,21.6,2026-08-30 03:00Z,29.49,-0.21,0.21,29,30,matched,AAXX 30031 98429 21560 82406 10297 20258 40084 53001 70262 8857/ 333 56//5 60007==
2026-08-30T06:00:00+00:00,27.7,26.5,1007.1,240,7.2,,,,,,,unmatched,AAXX 30061 98429 11559 82402 10277 20265 40071 55013 60171 72998 8257/ 333 82625 88360==
2026-08-30T09:00:00+00:00,28.7,25.2,1007.2,250,18.0,2026-08-30 09:00Z,27.37,-1.33,1.33,27,29,matched,AAXX 30091 98429 21558 82505 10287 20252 40072 53001 71082 8857/ 333 60017==
